Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
2_100	34.99	6361026.0
2_107	30.68	3325795.0
2_10	45.36	5815170.0
2_125	40.7	6433504.0
2_12	18.03	3131873.0
2_132	33.25	4462238.0
2_137	34.52	6553544.0
2_13	43.32	8185656.0
2_145	31.43	4550283.0
2_14	28.75	3463374.0
2_151	39.73	7750060.0
2_153	35.72	3634051.0
2_155	42.69	8101966.0
2_156	17.68	1780472.0
2_158	31.1	8427481.0
2_15	29.56	7792400.0
2_168	51.75	10309500.0
2_170	43.16	7719094.0
2_173	37.48	5633457.0
2_181	43.99	5015705.0
2_19	27.16	4411645.0
2_1	8.73	1937650.0
2_215	39.26	4815823.0
2_217	31.62	6003966.0
2_21	40.89	5896809.0
2_227	30.98	5464021.0
2_229	39.26	4056160.0
2_230	38.36	7442393.0
2_232	28.43	2132502.0
2_233	10.86	1481186.0
2_235	54.64	10818159.0
2_23	29.53	3048354.0
2_248	47.43	14008356.0
2_24	39.15	4976986.0
2_25	49.79	6862904.0
2_263	37.2	11434792.0
2_276	40.26	12529721.0
2_278	36.69	5792384.0
2_27	34.62	3882383.0
2_280	34.18	5397869.0
2_285	24.09	3151506.0
2_288	23.9	3275120.0
2_289	30.14	5976594.0
2_295	37.51	4244454.0
2_2	30.63	3546793.0
2_307	41.4	4017678.0
2_30	29.99	3642949.0
2_317	42.72	4352363.0
2_32	19.54	4380787.0
2_331	38.19	3336339.0
2_336	46.41	6452198.0
2_338	16.58	836047.0
2_339	16.55	982290.0
2_33	26.86	2951134.0
2_340	35.57	3230347.0
2_341	24.35	2433435.0
2_342	21.75	2559183.0
2_343	18.79	2343401.0
2_344	35.37	4066464.0
2_345	35.8	3326854.0
2_346	60.26	5670436.0
2_347	14.01	1475862.0
2_348	38.22	5923343.0
2_349	31.14	3240123.0
2_34	47.2	7537238.0
2_350	30.54	5087662.0
2_351	27.88	3415742.0
2_353	63.89	7999231.0
2_354	38.45	9981940.0
2_355	44.74	3164488.0
2_356	39.34	9232776.0
2_357	29.64	1989059.0
2_359	28.61	2288735.0
2_361	42.13	3919327.0
2_363	26.96	3384426.0
2_366	39.2	3697149.0
2_368	22.88	1791700.0
2_369	30.91	4132988.0
2_36	26.1	2488875.0
2_370	42.37	4675543.0
2_371	38.45	5119167.0
2_372	33.23	5215021.0
2_373	46.14	3064106.0
2_374	44.79	10175222.0
2_375	33.41	5122984.0
2_376	28.03	2713032.0
2_377	34.04	3938044.0
2_378	19.21	3260138.0
2_379	30.79	6681134.0
2_37	38.11	8145625.0
2_380	32.54	2221040.0
2_381	33.93	4301335.0
2_382	31.11	1605090.0
2_384	35.32	4588181.0
2_385	35.13	3868237.0
2_386	23.01	1791618.0
2_387	35.86	2810627.0
2_389	50.49	9099594.0
2_390	41.81	6886422.0
2_391	24.88	3565932.0
2_392	34.15	2716604.0
2_393	31.43	4805257.0
2_398	47.7	8835496.0
2_399	29.65	3029398.0
2_39	38.8	5279586.0
2_3	39.76	7570486.0
2_400	27.62	4586667.0
2_402	30.51	6016589.0
2_403	30.3	3353351.0
2_405	45.02	7303184.0
2_406	39.29	3956272.0
2_407	31.65	2180522.0
2_409	61.55	4409418.0
2_410	52.74	12093189.0
2_411	38.49	6342472.0
2_414	37.25	3059259.0
2_415	23.5	4328189.0
2_416	30.54	1845021.0
2_418	23.66	2101082.0
2_419	48.2	8227373.0
2_41	31.49	2995614.0
2_420	14.17	4243546.0
2_422	37.49	3590426.0
2_423	29.76	4126238.0
2_424	25.9	5221680.0
2_426	24.16	2747893.0
2_427	39.54	5209845.0
2_428	35.77	2607135.0
2_429	42.86	5747449.0
2_42	20.39	1538437.0
2_431	13.74	1173926.0
2_432	36.56	5709866.0
2_43	38.8	6569304.0
2_44	34.73	4096978.0
2_453	31.48	4522507.0
2_45	16.4	3036119.0
2_464	38.57	6115312.0
2_46	34.31	5838488.0
2_47	48.69	7419513.0
2_48	34.55	2922161.0
2_49	20.22	3690599.0
2_4	48.52	12732904.0
2_504	27.6	3246345.0
2_505	43.28	6803981.0
2_507	35.58	5090700.0
2_50	36.71	6234149.0
2_519	27.14	2742940.0
2_51	30.91	3623545.0
2_523	23.32	3652816.0
2_524	36.64	3844431.0
2_52	24.4	1849318.0
2_53	24.98	2315021.0
2_54	21.9	3343843.0
2_55	38.14	3123882.0
2_561	31.58	5563586.0
2_563	28.09	3312393.0
2_564	24.06	1375687.0
2_565	45.93	9585840.0
2_566	25.38	5664153.0
2_567	24.88	5078766.0
2_56	48.03	10868176.0
2_57	23.65	2168807.0
2_585	31.31	4848748.0
2_58	32.83	1754040.0
2_591	37.97	4234037.0
2_59	33.8	6113625.0
2_5	29.74	6544364.0
2_609	34.84	6049534.0
2_614	40.17	6828632.0
2_619	45.83	7133468.0
2_62	44.92	5614176.0
2_65	38.66	4318936.0
2_66	22.29	3554649.0
2_68	37.12	5884393.0
2_69	35.25	10290703.0
2_6	13.47	3743859.0
2_70	41.55	4852642.0
2_71	36.7	2727452.0
2_72	9.64	1159494.0
2_73	23.51	5564332.0
2_75	29.92	2735659.0
2_76	25.68	1902155.0
2_77	53.62	11612107.0
2_7	37.8	6582662.0
2_80	33.41	6497365.0
2_81	38.74	9737768.0
2_82	45.1	2568586.0
2_83	34.31	4453044.0
2_84	34.24	9700828.0
2_85	34.47	6717057.0
2_86	31.51	4347337.0
2_88	59.08	7530733.0
2_89	20.72	2052890.0
2_8	20.87	1436220.0
2_90	27.33	5293393.0
2_91	31.06	5916768.0
2_95	24.37	4306904.0
2_96	23.88	1953053.0
2_98	23.83	3266548.0
2_9	45.61	4940967.0
