Sample_ID,RNA_Original_concentration,RNA_Dilution_concentration,Cq
2_278,3,10,24
3_85,8,10,24
2_181,9,10,23
4_163,3,10,25
4_30,4,10,23
4_389,6,10,21
2_215,6,10,21
2_173,3,10,23
2_331,5,10,23
2_585,12,10,22
3_177,5,10,23
4_281,4,10,27
4_75,6,10,24
3_342,8,10,23
2_145,1,10,22
2_43,5,10,22
2_153,2,10,24
2_464,7,10,22
3_395,9,10,22
2_341,3,10,22
2_288,4,10,22
3_208,14,10,22
2_336,5,10,20
3_534,7,10,24
2_524,10,10,22
3_459,3,10,22
2_392,4,10,22
2_307,2,10,23
2_619,4,10,23
2_151,4,10,22
4_150,4,10,23
3_231,6,10,Undetermined
3_129,6,10,22
3_74,4,10,21
2_453,9,10,21
3_96,11,10,24
2_432,3,10,22
3_297,4,10,22
2_295,3,10,23
3_597,3,10,22
3_192,4,10,22
2_280,6,10,20
2_614,14,10,22
2_393,2,10,21
2_350,7,10,22
3_327,13,10,23
2_399,3,10,22
3_161,7,10,22
2_354,4,10,22
3_19,4,10,22
2_85,5,10,22
2_5,7,10,21
4_172,8,10,20
3_84,7,10,21
2_609,14,10,21
3_236,6,10,23
3_572,4,10,22
4_243,3,10,23
3_288,7,10,23
2_132,4,10,23
2_81,4,10,21
3_274,7,10,21
3_449,4,10,22
3_322,8,10,23
2_156,10,10,22
4_51,3,10,22
4_81,5,10,22
3_38,6,10,22
4_256,3,10,22
4_400,4,10,22
2_155,5,10,22
3_417,5,10,20
3_403,6,10,23
2_523,3,10,21
2_391,7,10,22
3_234,17,10,22
3_191,4,10,22
3_240,4,10,21
2_217,3,10,22
2_37,4,10,22
2_125,4,10,22
2_55,4,10,22
3_540,5,10,21
2_158,7,10,21
2_317,3,10,NA
2_398,2,10,NA
3_585,2,10,NA
3_396,2,10,NA
3_268,2,10,NA
2_374,2,10,NA
3_63,2,10,NA
2_406,3,2,19
2_416,2,2,20
3_100,1,2,21
2_504,2,2,20
2_345,2,2,20
2_60,2,2,19
2_390,4,2,20
3_430,2,2,21
2_56,3,2,21
2_505,3,2,22
3_204,3,2,22
4_267,3,2,22
3_399,3,2,21
2_80,3,2,21
3_81,2,2,21
2_382,2,2,18
2_86,1,2,20
3_50,2,2,20
3_480,3,2,18
2_82,1,2,22
3_2,2,2,14
3_374,4,2,21
4_275,2,2,21
3_384,4,2,20
2_98,1,2,22
2_414,2,2,20
3_361,1,2,22
3_530,2,2,16
3_67,2,2,22
4_85,2,2,21
3_411,2,2,22
4_276,1,2,23
4_361,1,2,22
4_102,1,2,23
2_363,1,2,22
3_354,2,2,22
3_39,1,2,Undetermined
3_423,2,2,22
4_254,1,2,19
2_366,1,2,21
2_371,1,2,21
3_377,1,2,20
4_262,1,2,22
4_90,1,2,21
2_71,1,2,16
4_269,1,2,22
3_43,1,2,22
4_235,1,2,22
2_51,1,2,22
2_372,1,2,21
4_462,1,2,21
2_74,1,2,12
4_273,3,2,20
2_52,2,2,22
4_250,1,2,21
2_58,1,2,21
2_377,1,2,21
3_407,1,2,Undetermined
2_427,1,2,22
2_83,1,2,19
3_418,2,2,Undetermined
2_415,1.44,1,19
3_363,2.22,1,19
2_57,1.74,1,19
4_103,1.66,1,19
2_338,1.21,1,19
3_28,0.96,1,19
2_32,0.96,1,19
3_52,1.12,1,20
2_84,0.92,1,20
3_88,0.8,1,22
2_378,1.31,1,20
3_388,0.96,1,19
2_33,0.96,1,18
3_58,1.41,1,19
3_11,1.01,1,20
2_285,1.7,1,20
2_418,1.22,1,19
4_100,1.04,1,18
2_368,1.13,1,19
3_390,0.92,1,19
2_73,3.39,1,20
3_62,1.62,1,21
3_22,1.89,1,20
2_343,1.57,1,19
2_59,0.92,1,20
2_424,1,1,19
2_12,1.45,1,19
2_423,0.92,1,20
2_342,1.3,1,19
3_83,2.37,1,18
3_30,0.92,1,21
4_242,0.92,1,20
3_206,1.2,1,22
2_565,1.68,1,21
3_386,0.84,1,21
2_42,0.84,1,18
2_519,2.98,1,19
3_434,0.96,1,19
2_385,1.53,1,20
3_257,2.71,1,19
3_56,1.44,1,21
2_591,1.22,1,19
3_415,1.06,1,21
2_90,0.88,1,21
2_566,3.39,1,21
3_419,7.12,1,19
2_49,2.34,1,20
3_98,1.65,1,19
3_546,2.06,1,19
2_386,5.92,1,19
3_349,2.1,1,21
3_46,1.28,1,19
3_12,0.8,1,19
4_67,4,1,18
2_53,1.82,1,19
3_259,1.92,1,18
4_69,1.23,1,21
2_428,2.19,1,19
3_353,0.88,1,19
3_91,1.45,1,22
2_47,1.54,1,19
3_59,1.53,1,20
4_93,0.84,1,21
2_230,1.11,1,19
3_24,1.06,1,19
4_68,2.13,1,18
2_91,0.8,1,19
3_357,1.49,1,19
4_331,1.86,1,21
3_31,5.12,1,19
3_369,0.88,1,19
3_397,7,2,22
2_69,8,2,17
3_94,4,2,20
2_8,4,2,19
2_48,8,2,19
3_45,6,2,20
4_92,1,2,20
2_232,10,2,18
2_561,6,2,18
2_13,4,2,23
2_420,4,2,18
2_381,4,2,17
3_420,6,2,17
2_70,9,2,19
3_366,3,2,20
2_11,3,2,20
2_50,7,2,19
3_47,8,2,21
4_162,1,2,19
2_339,3,2,19
3_25,3,2,18
2_54,3,2,20
2_567,6,2,18
2_2,5,2,17
3_565,7,2,20
2_72,4,2,22
3_382,3,2,21
2_15,5,2,20
2_370,4,2,19
3_200,8,2,20
4_255,1,2,18
2_351,3,2,17
3_92,4,2,17
2_62,3,2,19
3_18,5,2,Undetermined
2_16,4,2,17
4_104,6,2,20
2_95,4,2,21
3_383,2,2,22
2_30,10,2,20
2_373,4,2,18
3_243,2,2,20
4_292,1,2,20
2_376,3,2,17
3_427,2,2,18
2_68,4,2,20
3_35,6,2,Undetermined
2_35,3,2,Undetermined
4_105,1,2,21
2_356,6,2,20
3_409,2,2,20
2_387,2,2,18
3_416,3,2,19
2_4,1,2,20
2_380,3,2,18
2_88,2,2,19
3_238,6,2,17
2_96,2,2,17
4_119,1,2,22
2_421,3,2,23
4_84,7,2,20
2_39,4,2,20
2_419,8,2,20
3_421,6,2,19
2_7,1,2,19
2_384,4,2,18
4_82,5,2,17
2_235,5,2,20
3_246,10,2,18
2_100,3,2,18
4_259,4,2,20
2_426,3,2,19
4_382,5,2,20
2_44,6,2,19
2_507,5,2,19
3_426,5,2,19
2_27,2,2,18
2_407,3,2,18
4_83,3,2,19
2_344,4,2,20
3_365,3,2,17
2_348,7,2,18
2_1,3,2,21
2_431,3,2,19
2_6,4,2,20
2_45,7,2,20
3_3,5,2,18
4_72,3,2,18
2_89,2,2,17
2_433,1,2,16
4_333,11,2,25
2_347,7,2,21
4_268,4,2,18
2_353,5,2,18
2_405,9,2,21
4_264,4,2,21
3_51,5,2,22
3_79,3,2,23
2_562,3,2,23
4_124,2,2,20
4_71,2,2,22
2_77,4,2,23
4_165,2,2,21
3_362,2,2,23
3_412,1,2,20
2_422,2,2,22
4_287,2,2,22
3_250,4,2,23
3_68,1,2,18
2_411,1,2,21
2_410,2,2,20
2_10,2,2,22
2_41,1,2,19
3_1,1,2,21
3_387,1,2,23
4_113,4,2,21
4_258,5,2,20
3_78,6,2,22
4_288,5,2,22
3_398,2,2,24
3_26,1,2,23
3_360,1,2,23
3_401,1,2,24
2_346,3,2,22
2_375,2,2,19
4_110,2,2,23
4_115,1,2,23
4_290,2,2,21
3_73,1,2,18
3_201,11,2,22
4_295,2,2,22
4_111,1,2,23
3_219,2,2,20
4_122,3,2,21
2_25,1,2,22
2_403,1,2,19
4_167,1,2,21
4_362,4,2,23
3_95,2,2,21
3_425,8,2,21
4_120,2,2,23
3_414,1,2,23
4_130,1,2,21
2_21,2,2,22
2_361,1,2,23
3_4,2,2,22
4_332,2,2,21
3_27,2,2,24
3_488,3,2,20
3_405,5,2,19
4_76,7,2,21
2_65,1,2,23
4_274,1,2,23
2_369,2,2,23
3_32,3,2,23
3_44,1,2,22
4_381,2,2,23
4_106,1,2,20
3_29,3,2,20
3_367,3,2,23
4_64,6,2,23
4_96,4,2,21
3_376,2,2,23
4_98,5,2,23
3_380,1,2,22
2_24,1,2,23
3_359,2,2,22
4_363,1,2,21
3_392,2,2,23
4_294,8,2,21
4_291,7,2,23
4_166,2,2,21
2_429,2,2,23
4_284,1,2,23
2_355,1,2,23
3_99,1,2,23
2_34,2,2,22
2_3,1,2,23
3_41,2,2,22
3_37,2,2,21
4_116,4,2,23
4_326,4,2,21
4_421,12,2,23
2_9,4,2,NA
3_97,6,2,NA
4_77,4,2,NA
3_48,6,2,NA
2_75,4,2,NA
2_14,3,2,NA
4_452,1,2,NA
2_233,1,2,NA
4_112,1,2,NA
3_429,3,2,NA
3_69,1,2,NA
4_125,5,2,NA
4_261,1,2,NA
3_356,2,2,NA
3_477,5,2,NA
3_20,4,2,NA
2_349,4,2,NA
3_14,2,2,NA
2_564,2,2,NA
3_49,2,2,NA
4_61,2,2,NA
3_75,2,2,NA
4_293,3,2,NA
3_64,7,2,NA
3_5,1,2,NA
2_23,3,2,NA
4_94,2,2,NA
3_8,1,2,NA
3_251,5,2,NA
2_66,2,2,NA
4_246,1,2,NA
4_121,2,2,NA
4_99,2,2,NA
3_23,7,2,NA
4_58,3,2,NA
4_70,2,2,NA
2_359,3,2,NA
3_10,3,2,NA
3_350,2,2,NA
4_66,4,2,NA
2_229,3,2,NA
4_126,1,2,NA
4_404,1,2,NA
3_433,2,2,NA
4_127,4,2,NA
4_232,4,2,NA
4_282,1,2,NA
2_36,1,2,NA
3_351,1,2,NA
2_76,3,2,NA
4_86,2,2,NA
2_400,1,2,NA
3_368,2,2,NA
4_237,1,2,NA
3_77,1,2,NA
4_62,3,2,NA
3_406,5,2,NA
4_325,2,2,NA
3_394,3,2,NA
3_40,3,2,NA
2_46,2,2,NA
3_66,3,2,NA
