Genotype_Micro,Genotype,known_geno,Treatment,Tank,number_Samples,Final_State,R_final_state,Final_fraction_Disease,Days_to_disease_signs,days_from_initial_to_final,General_Notes,Extra_notes,extra2_notes,extra3_notes,Experiment,sample,tube_number,box,ID_Micro,SampleLocation,Disease_Exposed,Disease_Outcome,Disease_Prevalence,Sample_Uniq_ID,Exp_1,Exp_2,Exp_3,Exp_4,Sampled,timepoint,sample_date,Date_initial,Date_final,Date_exp_started,Real_timepoint,R_TP,R_treat,Order_TP
1-OF-2,1_OF_2,Y,C,52,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,243-3_1/17/22,243,3,52 _ 1 _ 1-OF-2,T_243_Exp_1_Box_3,0,0,1,T_243_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-350,15_350,Y,C,52,4,Control,Healthy,0,NA,NA,NA,notes said save half,NA,NA,1,244-3_1/17/22,244,3,52 _ 1 _ 15-350,T_244_Exp_1_Box_3,0,0,1,T_244_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
F7,F7,Y,C,52,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,245-3_1/17/22,245,3,52 _ 1 _ F7,T_245_Exp_1_Box_3,0,0,1,T_245_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF232,OF232,Y,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,246-3_1/17/22,246,3,52 _ 1 _ OF232,T_246_Exp_1_Box_3,0,0,0,T_246_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF3,OF3,Y,C,52,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,247-3_1/17/22,247,3,52 _ 1 _ OF3,T_247_Exp_1_Box_3,0,0,0.666666667,T_247_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF393,OF393,Y,C,53,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,249-3_1/17/22,249,3,53 _ 1 _ OF393,T_249_Exp_1_Box_3,0,0,0.333333333,T_249_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF416,OF416,Y,C,53,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,250-3_1/17/22,250,3,53 _ 1 _ OF416,T_250_Exp_1_Box_3,0,0,0.5,T_250_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF679,OF679,Y,C,54,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,254-3_1/17/22,254,3,54 _ 1 _ OF679,T_254_Exp_1_Box_3,0,0,1,T_254_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF684,OF684,Y,C,54,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,255-3_1/17/22,255,3,54 _ 1 _ OF684,T_255_Exp_1_Box_3,0,0,0,T_255_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S564,S564,Y,C,54,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,256-3_1/17/22,256,3,54 _ 1 _ S564,T_256_Exp_1_Box_3,0,0,1,T_256_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S630,S630,Y,C,54,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,257-3_1/17/22,257,3,54 _ 1 _ S630,T_257_Exp_1_Box_3,0,0,0,T_257_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-10,15_10,Y,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,258-3_1/17/22,258,3,55 _ 1 _ 15-10,T_258_Exp_1_Box_3,0,0,1,T_258_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-111,15_111,Y,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,259-3_1/17/22,259,3,55 _ 1 _ 15-111,T_259_Exp_1_Box_3,0,0,1,T_259_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-71,15_71,Y,C,55,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,260-3_1/17/22,260,3,55 _ 1 _ 15-71,T_260_Exp_1_Box_3,0,0,1,T_260_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S575,S575,Y,C,55,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,262-3_1/17/22,262,3,55 _ 1 _ S575,T_262_Exp_1_Box_3,0,0,0.666666667,T_262_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF2,OF2,Y,C,56,2,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,263-4_1/17/22,263,4,56 _ 1 _ OF2,T_263_Exp_1_Box_4,0,0,0,T_263_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF566,OF566,Y,C,56,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,265-4_1/17/22,265,4,56 _ 1 _ OF566,T_265_Exp_1_Box_4,0,0,0.5,T_265_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF76,OF76,Y,C,56,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,267-4_1/17/22,267,4,56 _ 1 _ OF76,T_267_Exp_1_Box_4,0,0,1,T_267_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
F32,F32,Y,C,57,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,269-4_1/17/22,269,4,57 _ 1 _ F32,T_269_Exp_1_Box_4,0,0,1,T_269_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF649,OF649,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,270-4_1/17/22,270,4,57 _ 1 _ OF649,T_270_Exp_1_Box_4,0,0,1,T_270_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF700,OF700,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,271-4_1/17/22,271,4,57 _ 1 _ OF700,T_271_Exp_1_Box_4,0,0,1,T_271_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
S335,S335,Y,C,57,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,272-4_1/17/22,272,4,57 _ 1 _ S335,T_272_Exp_1_Box_4,0,0,1,T_272_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
15-431,15_431,Y,C,58,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,273-4_1/17/22,273,4,58 _ 1 _ 15-431,T_273_Exp_1_Box_4,0,0,1,T_273_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF5,OF5,Y,C,58,4,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,274-4_1/17/22,274,4,58 _ 1 _ OF5,T_274_Exp_1_Box_4,0,0,0.666666667,T_274_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
OF569,OF569,Y,C,58,3,Control,Healthy,0,NA,NA,NA,NA,NA,NA,1,275-4_1/17/22,275,4,58 _ 1 _ OF569,T_275_Exp_1_Box_4,0,0,0,T_275_Exp_1,1,0,0,0,1,Early_Exposure,1/17/22,NA,NA,1/14/22,Early_Exposure,EE,C,3
