RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A7,3_397,1,7,2,A1,22,4
D6,2_69,2,8,2,A2,17,4
D3,3_94,3,4,2,A3,20,4
C8,2_8,4,4,2,A4,19,4
G9,2_48,5,8,2,A5,19,4
F2,3_45,6,6,2,A6,20,4
D5,4_92,7,1,2,A7,20,4
A3,2_232,8,10,2,A8,18,4
B12,2_561,9,6,2,A9,18,4
D1,2_13,10,4,2,A10,23,4
G12,2_420,11,4,2,A11,18,4
A2,2_381,12,4,2,A12,17,4
B7,3_420,13,6,2,B1,17,4
E1,2_70,14,9,2,B2,19,4
E10,3_366,15,3,2,B3,20,4
D8,2_11,16,3,2,B4,20,4
B4,2_50,17,7,2,B5,19,4
D2,3_47,18,8,2,B6,21,4
H3,4_162,19,1,2,B7,19,4
F4,2_339,20,3,2,B8,19,4
F9,3_25,21,3,2,B9,18,4
B11,2_54,22,3,2,B10,20,4
A1,2_567,23,6,2,B11,18,4
F5,2_2,24,5,2,B12,17,4
C7,3_565,25,7,2,C1,20,4
E3,2_72,26,4,2,C2,22,4
E12,3_382,27,3,2,C3,21,4
E6,2_15,28,5,2,C4,20,4
D12,2_370,29,4,2,C5,19,4
H11,3_200,30,8,2,C6,20,4
C2,4_255,31,1,2,C7,18,4
G10,2_351,32,3,2,C8,17,4
H5,3_92,33,4,2,C9,17,4
A6,2_62,34,3,2,C10,19,4
H10,3_18,35,5,2,C11,Undetermined,4
C6,2_16,36,4,2,C12,17,4
D7,4_104,37,6,2,D1,20,4
F1,2_95,38,4,2,D2,21,4
E5,3_383,39,2,2,D3,22,4
G11,2_30,40,10,2,D4,20,4
H2,2_373,41,4,2,D5,18,4
C5,3_243,42,2,2,D6,20,4
F8,4_292,43,1,2,D7,20,4
H12,2_376,44,3,2,D8,17,4
C4,3_427,45,2,2,D9,18,4
A9,2_68,46,4,2,D10,20,4
B5,3_35,47,6,2,D11,Undetermined,4
B2,2_35,48,3,2,D12,Undetermined,4
E7,4_105,49,1,2,E1,21,4
H8,2_356,50,6,2,E2,20,4
B8,3_409,51,2,2,E3,20,4
B10,2_31,52,NA,2,E4,21,4
F12,2_387,53,2,2,E5,18,4
C9,3_416,54,3,2,E6,19,4
A4,2_4,55,1,2,E7,20,4
G3,2_380,56,3,2,E8,18,4
G6,3_548,57,NA,2,E9,18,4
D11,2_88,58,2,2,E10,19,4
H4,3_238,59,6,2,E11,17,4
D4,2_96,60,2,2,E12,17,4
F7,4_119,61,1,2,F1,22,4
E4,2_421,62,3,2,NA,23,4
G8,4_84,63,7,2,F3,20,4
E8,2_39,64,4,2,F4,20,4
B9,2_419,65,8,2,F5,20,4
A10,3_421,66,6,2,F6,19,4
D10,2_7,67,1,2,F7,19,4
F10,2_384,68,4,2,F8,18,4
G4,4_82,69,5,2,F9,17,4
B1,2_235,70,5,2,F10,20,4
F3,3_246,71,10,2,F11,18,4
A8,2_100,72,3,2,F12,18,4
G7,4_259,73,4,2,G1,20,4
E9,2_426,74,3,2,G2,19,4
H6,4_382,75,5,2,G3,20,4
H1,2_44,76,6,2,G4,19,4
B3,2_507,77,5,2,G5,19,4
A11,3_426,78,5,2,G6,19,4
C12,2_27,79,2,2,G7,18,4
C11,2_407,80,3,2,G8,18,4
E2,4_83,81,3,2,G9,19,4
E11,2_344,82,4,2,G10,20,4
A5,3_365,83,3,2,G11,17,4
F11,2_348,84,7,2,G12,18,4
H7,2_1,85,3,2,H1,21,4
D9,2_431,86,3,2,H2,19,4
G2,2_6,87,4,2,H3,20,4
C10,2_45,88,7,2,H4,20,4
C3,3_3,89,5,2,H5,18,4
G1,4_72,90,3,2,H6,18,4
A12,2_89,91,2,2,H7,17,4
G5,2_433,92,1,2,H8,16,4
F6,4_333,93,11,2,H9,25,4
C1,2_347,94,7,2,H10,21,4
B6,4_268,95,4,2,H11,18,4
H9,2_353,96,5,2,H12,18,4
