Names	total	elements
res1 res2 res4	15	LOC110046269
		LOC110065708
		LOC110055700
		LOC110064787
		LOC110050883
		LOC110059708
		LOC110068152
		LOC110042472
		LOC110055348
		LOC110043946
		LOC110056301
		LOC110063037
		LOC110058385
		LOC110039728
		LOC110057963
res2 res3 res4	1	LOC110065008
res1 res2	152	LOC110051255
		LOC110060064
		LOC110063159
		LOC110069659
		LOC110049123
		LOC110050596
		LOC110047380
		LOC110059810
		LOC110039847
		LOC110050412
		LOC110046180
		LOC110066730
		LOC110042185
		LOC110065512
		LOC110065252
		LOC110050671
		LOC110050985
		LOC110044614
		LOC110069339
		LOC110055865
		LOC110055245
		LOC110068832
		LOC110044195
		LOC110068608
		LOC110068067
		LOC110058814
		LOC110044004
		LOC110056626
		LOC110045208
		LOC110063979
		LOC110062309
		LOC110050042
		LOC110053579
		LOC110061052
		LOC110055642
		LOC110040899
		LOC110059938
		LOC110064312
		LOC110069424
		LOC110039960
		LOC110068705
		LOC110057123
		LOC110049853
		LOC110053069
		LOC110057527
		LOC110050932
		LOC110062180
		LOC110055756
		LOC110043607
		LOC110067391
		LOC110063784
		LOC110067349
		LOC110065127
		LOC110048190
		LOC110046011
		LOC110052793
		LOC110062626
		LOC110055294
		LOC110048955
		LOC110051046
		LOC110060042
		LOC110064011
		LOC110062864
		LOC110056255
		LOC110058395
		LOC110052494
		LOC110064912
		LOC110040924
		LOC110048964
		LOC110065588
		LOC110066954
		LOC110069365
		LOC110041370
		LOC110043387
		LOC110057766
		LOC110067624
		LOC110066286
		LOC110052323
		LOC110047970
		LOC110064269
		LOC110062846
		LOC110052780
		LOC110041920
		LOC110067882
		LOC110057480
		LOC110055386
		LOC110044207
		LOC110056841
		LOC110056449
		LOC110055559
		LOC110053846
		LOC110045559
		LOC110059474
		LOC110067916
		LOC110042683
		LOC110064761
		LOC110065290
		LOC110043216
		LOC110057003
		LOC110040087
		LOC110068593
		LOC110064465
		LOC110057057
		LOC110069580
		LOC110051767
		LOC110059740
		LOC110057721
		LOC110058382
		LOC110068557
		LOC110067369
		LOC110066923
		LOC110055732
		LOC110066243
		LOC110060083
		LOC110046035
		LOC110054875
		LOC110043027
		LOC110039944
		LOC110063939
		LOC110051805
		LOC110043889
		LOC110056049
		LOC110065139
		LOC110062632
		LOC110065909
		LOC110065341
		LOC110050439
		LOC110059449
		LOC110060582
		LOC110048447
		LOC110064594
		LOC110050267
		LOC110043460
		LOC110050594
		LOC110040722
		LOC110069312
		LOC110063807
		LOC110065655
