,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ofav_gene,contrast,contrast_gene,name,description,contrast_id
657,4.115552389,-42.99346931,2.810664675,-15.29654878,8.06E-53,1.28E-48,LOC110063428,3,3_LOC110063428,LOC110063428,uncharacterized LOC110063428, C_PE_D_D_EE_D
659,2.364015573,-39.71379081,3.531191481,-11.24656961,2.41E-29,1.28E-25,LOC110063825,3,3_LOC110063825,LOC110063825,cytochrome P450 3A19-like, C_PE_D_D_EE_D
663,1.26322746,-25.94995512,3.54139249,-7.327613416,2.34E-13,5.32E-10,LOC110046365,3,3_LOC110046365,LOC110046365,"potassium channel subfamily K member 9-like, transcript variant X2", C_PE_D_D_EE_D
660,25.75827594,-25.60439212,2.549916046,-10.04126868,1.00E-23,3.99E-20,LOC110069565,3,3_LOC110069565,LOC110069565,"uncharacterized LOC110069565, transcript variant X1", C_PE_D_D_EE_D
16,36.04349222,-23.87214578,3.352371521,-7.120972611,1.07E-12,1.00E-09,LOC110047027,1,1_LOC110047027,LOC110047027,uncharacterized LOC110047027, C_EE_H_D_EE_H
409,16.97349575,-23.62987444,7.23743222,-3.264952778,0.001094823,0.042537498,LOC110047843,1,1_LOC110047843,LOC110047843,testis-expressed protein 10-like, C_EE_H_D_EE_H
428,12.40394884,-23.61636553,7.724267958,-3.057424426,0.002232479,0.082888617,LOC110050129,1,1_LOC110050129,LOC110050129,"hydroxyacyl-coenzyme A dehydrogenase, mitochondrial-like", C_EE_H_D_EE_H
6,27.23000385,-23.5928003,2.761910441,-8.542203233,1.32E-17,3.49E-14,LOC110045720,1,1_LOC110045720,LOC110045720,"myoferlin-like, transcript variant X1", C_EE_H_D_EE_H
300,10.36837764,-23.53724614,5.87510406,-4.006268808,6.17E-05,0.003267478,LOC110066386,1,1_LOC110066386,LOC110066386,uncharacterized LOC110066386, C_EE_H_D_EE_H
48,21.45628148,-23.42425684,3.763297797,-6.224396288,4.83E-10,1.60E-07,LOC110053631,1,1_LOC110053631,LOC110053631,C2 domain-containing protein 3-like, C_EE_H_D_EE_H
608,8.895019662,-23.2479699,5.095885041,-4.562106428,5.06E-06,0.000459867,LOC110069668,2,2_LOC110069668,LOC110069668,FH protein interacting protein FIP2-like, D_EE_D_D_EE_H
83,15.17119865,-23.18869214,3.980631813,-5.825379797,5.70E-09,1.09E-06,LOC110044544,1,1_LOC110044544,LOC110044544,uncharacterized LOC110044544, C_EE_H_D_EE_H
349,10.4313104,-23.12073229,6.295670519,-3.672481306,0.000240207,0.010937321,LOC110064592,1,1_LOC110064592,LOC110064592,uncharacterized LOC110064592, C_EE_H_D_EE_H
392,8.19675064,-23.11282467,6.837181396,-3.380460944,0.000723644,0.029186346,LOC110054377,1,1_LOC110054377,LOC110054377,twist-related protein-like, C_EE_H_D_EE_H
118,18.185449,-23.05469805,4.285479557,-5.379724193,7.46E-08,9.90E-06,LOC110052681,1,1_LOC110052681,LOC110052681,uncharacterized LOC110052681, C_EE_H_D_EE_H
314,11.51928097,-23.02466579,5.848843593,-3.936618482,8.26E-05,0.004182158,LOC110039915,1,1_LOC110039915,LOC110039915,"putative adenosylhomocysteinase 3, transcript variant X2", C_EE_H_D_EE_H
19,38.98174562,-23.00735593,3.268760963,-7.038555647,1.94E-12,1.62E-09,LOC110059082,1,1_LOC110059082,LOC110059082,cytosolic carboxypeptidase 2-like, C_EE_H_D_EE_H
183,11.39655721,-22.96027534,4.733745928,-4.850339602,1.23E-06,0.000106444,LOC110047676,1,1_LOC110047676,LOC110047676,neuromedin-U receptor 2-like, C_EE_H_D_EE_H
89,16.21273541,-22.80299854,3.975934929,-5.735254461,9.74E-09,1.74E-06,LOC110050828,1,1_LOC110050828,LOC110050828,uncharacterized LOC110050828, C_EE_H_D_EE_H
12,46.49452675,-22.79289046,3.039829195,-7.498082623,6.48E-14,8.58E-11,LOC110047374,1,1_LOC110047374,LOC110047374,collagen triple helix repeat-containing protein 1-like, C_EE_H_D_EE_H
60,131.1652588,-22.72426348,3.723175982,-6.103462095,1.04E-09,2.75E-07,LOC110040175,1,1_LOC110040175,LOC110040175,uncharacterized LOC110040175, C_EE_H_D_EE_H
739,15.29580865,-22.65762714,2.738724417,-8.273058436,1.31E-16,3.40E-14,LOC110069143,4,4_LOC110069143,LOC110069143,"tensin-3-like, transcript variant X1", C_PE_H_C_EE_H
149,15.21174516,-22.62798618,4.431366625,-5.106322292,3.28E-07,3.50E-05,LOC110043028,1,1_LOC110043028,LOC110043028,"uncharacterized LOC110043028, transcript variant X3", C_EE_H_D_EE_H
797,12.44458191,-22.57415079,3.095094058,-7.293526584,3.02E-13,4.03E-11,LOC110055775,4,4_LOC110055775,LOC110055775,uncharacterized LOC110055775, C_PE_H_C_EE_H
707,29.70030396,-22.53650909,2.484128244,-9.072200333,1.17E-19,6.39E-17,LOC110050490,4,4_LOC110050490,LOC110050490,sodium-coupled monocarboxylate transporter 1-like, C_PE_H_C_EE_H
84,24.17473323,-22.51751605,3.884740495,-5.796401607,6.78E-09,1.28E-06,LOC110062326,1,1_LOC110062326,LOC110062326,uncharacterized LOC110062326, C_EE_H_D_EE_H
780,21.79876206,-22.51712204,2.95838948,-7.611277079,2.71E-14,4.23E-12,LOC110048539,4,4_LOC110048539,LOC110048539,uncharacterized LOC110048539, C_PE_H_C_EE_H
694,36.12983085,-22.50863433,2.330359194,-9.658869067,4.51E-22,4.48E-19,LOC110054205,4,4_LOC110054205,LOC110054205,uncharacterized LOC110054205, C_PE_H_C_EE_H
50,32.80436493,-22.4891644,3.644678078,-6.170411739,6.81E-10,2.07E-07,LOC110057496,1,1_LOC110057496,LOC110057496,uncharacterized LOC110057496, C_EE_H_D_EE_H
70,21.18367373,-22.45549653,3.714769677,-6.044922964,1.49E-09,3.39E-07,LOC110068534,1,1_LOC110068534,LOC110068534,histone H2A, C_EE_H_D_EE_H
701,36.10334154,-22.44455153,2.426236122,-9.250769671,2.23E-20,1.54E-17,LOC110039872,4,4_LOC110039872,LOC110039872,anion exchange protein 3-like, C_PE_H_C_EE_H
704,23.82108009,-22.43218799,2.447649008,-9.164789524,4.96E-20,3.03E-17,LOC110045499,4,4_LOC110045499,LOC110045499,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog, C_PE_H_C_EE_H
81,21.02369953,-22.40267458,3.802993415,-5.890800254,3.84E-09,7.52E-07,LOC110059770,1,1_LOC110059770,LOC110059770,"NACHT, LRR and PYD domains-containing protein 12-like, transcript variant X1", C_EE_H_D_EE_H
344,4.817511735,-22.39945025,6.073925936,-3.687804311,0.000226197,0.010449141,LOC110040700,1,1_LOC110040700,LOC110040700,"beta-1,4-N-acetylgalactosaminyltransferase 3-like", C_EE_H_D_EE_H
750,19.33495207,-22.37701563,2.783775079,-8.038370556,9.10E-16,2.01E-13,LOC110062257,4,4_LOC110062257,LOC110062257,uncharacterized LOC110062257, C_PE_H_C_EE_H
686,35.19885966,-22.29348642,2.101950475,-10.606095,2.79E-26,5.55E-23,LOC110053599,4,4_LOC110053599,LOC110053599,uncharacterized LOC110053599, C_PE_H_C_EE_H
29,18.03375438,-22.28929855,3.394177606,-6.566921694,5.14E-11,2.74E-08,LOC110048560,1,1_LOC110048560,LOC110048560,"metalloendopeptidase OMA1, mitochondrial-like", C_EE_H_D_EE_H
423,4.68689956,-22.28703404,7.176152972,-3.10570777,0.001898242,0.071311975,LOC110047450,1,1_LOC110047450,LOC110047450,interstitial collagenase-like, C_EE_H_D_EE_H
128,17.25987139,-22.25824179,4.182076286,-5.322294542,1.02E-07,1.27E-05,LOC110047159,1,1_LOC110047159,LOC110047159,"RNA polymerase-associated protein LEO1-like, transcript variant X2", C_EE_H_D_EE_H
45,21.2831231,-22.23776889,3.547686595,-6.268245036,3.65E-10,1.29E-07,LOC110050375,1,1_LOC110050375,LOC110050375,uncharacterized LOC110050375, C_EE_H_D_EE_H
97,20.31730805,-22.23590362,3.934142519,-5.65203307,1.59E-08,2.60E-06,LOC110045768,1,1_LOC110045768,LOC110045768,ankyrin repeat and BTB/POZ domain-containing protein BTBD11-like, C_EE_H_D_EE_H
62,18.14695616,-22.21060135,3.64812743,-6.088219715,1.14E-09,2.93E-07,LOC110051129,1,1_LOC110051129,LOC110051129,"uncharacterized LOC110051129, transcript variant X2", C_EE_H_D_EE_H
955,20.45242045,-22.20902132,4.037705833,-5.500405984,3.79E-08,2.17E-06,LOC110064737,4,4_LOC110064737,LOC110064737,uncharacterized LOC110064737, C_PE_H_C_EE_H
267,10.63862775,-22.1943471,5.251674547,-4.226146709,2.38E-05,0.001414877,LOC110068563,1,1_LOC110068563,LOC110068563,uncharacterized LOC110068563, C_EE_H_D_EE_H
291,7.451608309,-22.12852495,5.432958396,-4.07301572,4.64E-05,0.002538049,LOC110063383,1,1_LOC110063383,LOC110063383,uncharacterized LOC110063383, C_EE_H_D_EE_H
653,4.353835066,-22.11882457,6.623197215,-3.339599268,0.000838994,0.060602033,LOC110065008,2,2_LOC110065008,LOC110065008,"D(3) dopamine receptor-like, transcript variant X1", D_EE_D_D_EE_H
710,21.2831231,-22.08059498,2.462570018,-8.966484126,3.06E-19,1.52E-16,LOC110050375,4,4_LOC110050375,LOC110050375,uncharacterized LOC110050375, C_PE_H_C_EE_H
77,30.14853123,-22.06432858,3.718155826,-5.934212985,2.95E-09,6.09E-07,LOC110064066,1,1_LOC110064066,LOC110064066,tyrosine-protein kinase FRK-like, C_EE_H_D_EE_H
53,15.08641006,-22.05148096,3.574788354,-6.168611613,6.89E-10,2.07E-07,LOC110068247,1,1_LOC110068247,LOC110068247,forkhead box protein Q1-like, C_EE_H_D_EE_H
699,18.03375438,-22.03946734,2.360033019,-9.338626689,9.76E-21,7.38E-18,LOC110048560,4,4_LOC110048560,LOC110048560,"metalloendopeptidase OMA1, mitochondrial-like", C_PE_H_C_EE_H
689,40.65909261,-22.0021102,2.120584751,-10.37549204,3.21E-25,4.63E-22,LOC110055994,4,4_LOC110055994,LOC110055994,ZP domain-containing protein-like, C_PE_H_C_EE_H
690,46.49452675,-21.99542492,2.124291284,-10.35424148,4.00E-25,5.30E-22,LOC110047374,4,4_LOC110047374,LOC110047374,collagen triple helix repeat-containing protein 1-like, C_PE_H_C_EE_H
120,18.4495957,-21.97232251,4.084344399,-5.3796449,7.46E-08,9.90E-06,LOC110069503,1,1_LOC110069503,LOC110069503,uncharacterized LOC110069503, C_EE_H_D_EE_H
382,7.116240392,-21.96521967,6.366231067,-3.450270566,0.000560025,0.023296745,LOC110063864,1,1_LOC110063864,LOC110063864,pyroglutamylated RFamide peptide receptor-like, C_EE_H_D_EE_H
153,14.44288459,-21.96430799,4.309139991,-5.097144217,3.45E-07,3.58E-05,LOC110055837,1,1_LOC110055837,LOC110055837,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3-like, C_EE_H_D_EE_H
685,21.68498461,-21.96145695,2.063237622,-10.6441724,1.86E-26,4.21E-23,LOC110057236,4,4_LOC110057236,LOC110057236,"centrosomal protein POC5-like, transcript variant X1", C_PE_H_C_EE_H
715,18.11739116,-21.94736422,2.497349762,-8.788262083,1.52E-18,6.52E-16,LOC110069663,4,4_LOC110069663,LOC110069663,"uncharacterized LOC110069663, transcript variant X2", C_PE_H_C_EE_H
855,8.611637324,-21.93393567,3.336518698,-6.573898622,4.90E-11,4.38E-09,LOC110058730,4,4_LOC110058730,LOC110058730,protein decapentaplegic-like, C_PE_H_C_EE_H
801,9.813666225,-21.93134503,3.033465678,-7.22979831,4.84E-13,6.25E-11,LOC110062663,4,4_LOC110062663,LOC110062663,sodium- and chloride-dependent taurine transporter-like, C_PE_H_C_EE_H
727,15.85395136,-21.9184527,2.589477156,-8.464431768,2.57E-17,8.35E-15,LOC110058152,4,4_LOC110058152,LOC110058152,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A-like", C_PE_H_C_EE_H
723,21.18367373,-21.9184025,2.574608363,-8.513295775,1.69E-17,5.97E-15,LOC110068534,4,4_LOC110068534,LOC110068534,histone H2A, C_PE_H_C_EE_H
23,25.223293,-21.91637037,3.26408784,-6.714393559,1.89E-11,1.30E-08,LOC110061179,1,1_LOC110061179,LOC110061179,uncharacterized LOC110061179, C_EE_H_D_EE_H
835,15.56345351,-21.9036533,3.231200052,-6.778798264,1.21E-11,1.23E-09,LOC110049641,4,4_LOC110049641,LOC110049641,"histone acetyltransferase KAT7-like, transcript variant X3", C_PE_H_C_EE_H
254,10.25903085,-21.89675748,5.107290408,-4.287353123,1.81E-05,0.001131231,LOC110040308,1,1_LOC110040308,LOC110040308,probable E3 ubiquitin-protein ligase ARI11, C_EE_H_D_EE_H
679,49.56764317,-21.89659771,1.791561465,-12.22207451,2.37E-34,3.77E-30,LOC110066850,4,4_LOC110066850,LOC110066850,uncharacterized LOC110066850, C_PE_H_C_EE_H
751,10.96513886,-21.88990367,2.732340909,-8.011410141,1.13E-15,2.47E-13,LOC110047414,4,4_LOC110047414,LOC110047414,protein CIP2A homolog, C_PE_H_C_EE_H
656,4.390519646,-21.87952274,6.823455703,-3.206516419,0.001343526,0.09573981,LOC110067499,2,2_LOC110067499,LOC110067499,uncharacterized LOC110067499, D_EE_D_D_EE_H
698,39.5607303,-21.87699526,2.331427325,-9.383520143,6.38E-21,5.07E-18,LOC110052514,4,4_LOC110052514,LOC110052514,two pore potassium channel protein sup-9-like, C_PE_H_C_EE_H
726,16.00430886,-21.8615108,2.577070119,-8.483087301,2.19E-17,7.26E-15,LOC110053046,4,4_LOC110053046,LOC110053046,maltase 1-like, C_PE_H_C_EE_H
85,25.38680759,-21.84793568,3.776860546,-5.784681593,7.26E-09,1.34E-06,LOC110052731,1,1_LOC110052731,LOC110052731,glycogen synthase kinase-3 beta-like, C_EE_H_D_EE_H
910,7.512101115,-21.80114255,3.694667249,-5.900705283,3.62E-09,2.48E-07,LOC110053460,4,4_LOC110053460,LOC110053460,uncharacterized LOC110053460, C_PE_H_C_EE_H
877,12.74835016,-21.78581785,3.435401894,-6.34156309,2.27E-10,1.82E-08,LOC110043323,4,4_LOC110043323,LOC110043323,coiled-coil domain-containing protein 15-like, C_PE_H_C_EE_H
66,23.61564826,-21.77515155,3.58603796,-6.072203305,1.26E-09,3.04E-07,LOC110044586,1,1_LOC110044586,LOC110044586,uncharacterized LOC110044586, C_EE_H_D_EE_H
15,40.65909261,-21.77218013,3.035411658,-7.172727322,7.35E-13,7.79E-10,LOC110055994,1,1_LOC110055994,LOC110055994,ZP domain-containing protein-like, C_EE_H_D_EE_H
729,8.681886301,-21.76621354,2.573415116,-8.45810433,2.72E-17,8.47E-15,LOC110058416,4,4_LOC110058416,LOC110058416,"phosphoglycolate phosphatase-like, transcript variant X1", C_PE_H_C_EE_H
752,17.40039705,-21.74863407,2.725394553,-7.979994694,1.46E-15,3.14E-13,LOC110063495,4,4_LOC110063495,LOC110063495,uncharacterized LOC110063495, C_PE_H_C_EE_H
145,14.65722099,-21.73040036,4.235597201,-5.130421834,2.89E-07,3.17E-05,LOC110054165,1,1_LOC110054165,LOC110054165,vacuolar protein sorting-associated protein 72 homolog, C_EE_H_D_EE_H
162,17.4845792,-21.71118635,4.322880932,-5.022388239,5.10E-07,5.01E-05,LOC110050011,1,1_LOC110050011,LOC110050011,protein DBF4 homolog B-like, C_EE_H_D_EE_H
10,35.95108468,-21.67798562,2.776857236,-7.806661912,5.87E-15,9.33E-12,LOC110063950,1,1_LOC110063950,LOC110063950,transient receptor potential cation channel subfamily A member 1 homolog, C_EE_H_D_EE_H
766,11.42279308,-21.65141335,2.766235621,-7.827031502,5.00E-15,9.02E-13,LOC110069527,4,4_LOC110069527,LOC110069527,"uncharacterized protein C15orf41 homolog, transcript variant X2", C_PE_H_C_EE_H
189,13.26979478,-21.64029447,4.500037833,-4.808913896,1.52E-06,0.000127593,LOC110065762,1,1_LOC110065762,LOC110065762,EGF-like repeat and discoidin I-like domain-containing protein 3, C_EE_H_D_EE_H
21,17.83992755,-21.63742149,3.208990065,-6.742751162,1.55E-11,1.15E-08,LOC110062674,1,1_LOC110062674,LOC110062674,tetratricopeptide repeat protein 28-like, C_EE_H_D_EE_H
778,18.34832084,-21.62989362,2.825176168,-7.656122073,1.92E-14,3.05E-12,LOC110052533,4,4_LOC110052533,LOC110052533,uncharacterized skeletal organic matrix protein 5-like, C_PE_H_C_EE_H
